title,content,category
1 accused in Haryana DSP's killing arrested; was shot in leg in encounter,"One person involved in the killing of Tauru DSP Surender Singh in Haryana's Nuh has been arrested, Haryana Home Minister Anil Vij has confirmed. According to police, the accused was arrested after an encounter, during which he was shot in the leg. ""Other [accused] will be arrested soon...We're very serious as the attack has happened on our police,"" Vij added.",national
Situation is exceptional but comparing it with India is ignorant: Jaishankar on Lanka,"The government hosted an all-party meeting on Sri Lanka crisis on Tuesday, during which External Affairs Minister S Jaishankar briefed the attendees, including opposition MPs. ""The situation is unprecedented and India is worried about it. But drawing comparisons (with India) is uninformed,"" said Jaishankar. The opposition has raised concerns about India's economy in the wake of Lankan crisis.",national
"Farmer files complaint against Lord Indra over lack of rains in UP, pic goes viral","A UP farmer submitted a written complaint to the local administration against the Hindu God of rain ""Indra Devta (Bhagwan ji)"", citing a lack of rainfall. A picture of the complaint filed by Sumit Kumar Yadav has gone viral. He wrote, ""All are suffering...I, therefore, request you (District Magistrate) to take action against Indra Bhagwan.""",national
"Huge sinkhole opens up in New York City, swallows van; video goes viral","A video has gone viral showing a huge sinkhole opening up in New York City. In the video, a van can be seen toppling into the sinkhole after heavy rains pounded the area. No injuries were reported in connection with the sinkhole, officials said. As per reports, 75 customers were left without water service because of the sinkhole. ",national
"I retired from ODIs due to horrendous schedule, ECB banned me from T20Is too: Pietersen","Ex-England captain Kevin Pietersen took to Twitter to take a dig at the England and Wales Cricket Board (ECB). ""I once said the schedule was horrendous and I couldn’t cope, so I retired from ODI cricket & the ECB banned me from [T20Is] too,"" he tweeted. Pietersen's tweet comes after England Test captain Ben Stokes announced his retirement from ODIs.",national
Part of world's most powerful telescope permanently damaged by space rock: Report,"Scientists have said part of James Webb Space Telescope, the world's most powerful telescope, suffered permanent damage due to a series of micrometeorite strikes. The micrometeoroid which hit a segment in the period May 22-24 caused significant uncorrectable change in the overall figure of that segment, said scientists. The telescope was built at a cost of $10 billion.",national
Govt releases list of cities and towns renamed in the last 5 years,"The Centre gave its nod for renaming seven cities and towns, including Allahabad to Prayagraj, in last five years, the Lok Sabha was informed. The approval was given to renaming of Rajahmundry (Rajamahendravaram), Nagar Untari (Shri Banshidhar Nagar), Birsinghpur Pali (Maa Birasini Dham), Hoshangabad Nagar (Narmadapuram), Babai (Makhan Nagar) and Shri Hargobindpur city (Shri Hargobindpur Sahib).",national
India & China to maintain stability along LAC after 16th round of talks,"India and China agreed to maintain stability on ground and resolve relevant issues pertaining to Line of Actual Control (LAC) in 16th round of corps commander-level talks held on Sunday. In a joint press release, both sides reaffirmed that resolution of remaining issues would enable progress in bilateral ties. Talks were held at Chushul-Moldo border meeting point on Indian side.",national
Check-in using face recognition at Bengaluru airport from Aug 15,"The first phase of Centre's Digi Yatra project, which allows passengers to check in at airport using facial recognition technology, will commence at Bengaluru's Kempegowda International Airport on August 15. Under the project, passengers will pass through check-points through a contactless process, using facial features to establish their identities, which would be linked to boarding passes.",national
Russia seeks explanation from India over detained cargo ship in Cochin,"Russian Embassy in India has said it's aware of the Russian cargo ship detention in Cochin, on board which military cargo for Indian Armed Forces was delivered. The embassy has filed an official request for an explanation of the incident's circumstances. ""We've also asked...MEA to ensure unconditional observance of...rights of...Russian shipowners and crew,"" it said.
",national
